scope,method,primary_k,frozen_baseline,baseline_error,method_error,absolute_gain,gain_retention_vs_caaa
pooled,caaa_v2,64,covariance_mahalanobis,73693.26097155725,102892.54804929986,-29199.287077742614,1.0
pooled,permuted_j,64,covariance_mahalanobis,73693.26097155725,283447.0248062949,-209753.76383473765,7.183523463304832
pooled,random_spd,64,covariance_mahalanobis,73693.26097155725,104058.81132223115,-30365.550350673904,1.0399414982230948
bowl_on_plate,caaa_v2,64,covariance_mahalanobis,92841.81106361095,152841.13969040054,-59999.32862678959,1.0
bowl_on_plate,permuted_j,64,covariance_mahalanobis,92841.81106361095,586963.3916823021,-494121.58061869117,8.235451828007069
bowl_on_plate,random_spd,64,covariance_mahalanobis,92841.81106361095,82949.51827525116,9892.292788359788,-0.1648733913322973
plate_push,caaa_v2,64,covariance_mahalanobis,429.8537001721658,1143.2144187016222,-713.3607185294563,1.0
plate_push,permuted_j,64,covariance_mahalanobis,429.8537001721658,1305.2290316258827,-875.3753314537169,1.2271145701129191
plate_push,random_spd,64,covariance_mahalanobis,429.8537001721658,1005.6709332382501,-575.8172330660843,0.8071894318110081
stove_turn_on,caaa_v2,64,covariance_mahalanobis,522.2772567573882,2790.8660733953816,-2268.5888166379937,1.0
stove_turn_on,permuted_j,64,covariance_mahalanobis,522.2772567573882,4902.660666982297,-4380.383410224908,1.9308846883573
stove_turn_on,random_spd,64,covariance_mahalanobis,522.2772567573882,3544.3467796542877,-3022.0695228969,1.3321363046193406
wine_rack,caaa_v2,64,covariance_mahalanobis,200979.10186568854,254794.97201470193,-53815.87014901338,1.0
wine_rack,permuted_j,64,covariance_mahalanobis,200979.10186568854,540616.8178442693,-339637.71597858076,6.311107021741753
wine_rack,random_spd,64,covariance_mahalanobis,200979.10186568854,328735.7093007809,-127756.60743509236,2.373957850748132
