task_id,method,k,n,settled_effect_error_mean,immediate_effect_error_mean,contact_mode_preservation,task_progress_preservation_005,task_progress_mae,action_reconstruction_error_mean,codebook_utilization,dead_code_ratio,clipped_coordinate_rate
bowl_on_plate,caaa_v2,32,192,125243.03865211572,71042.40713734615,0.828125,0.828125,0.02038938935752877,0.7917861578453428,0.1875,0.8125,0.7135416666666666
bowl_on_plate,caaa_v2,64,768,152841.13969040054,238721.2001513395,0.8177083333333334,0.7942708333333334,0.019324574832387628,0.7990411059971536,0.140625,0.859375,0.72998046875
bowl_on_plate,caaa_v2,128,192,135121.9665849404,67558.2701628828,0.8072916666666666,0.8489583333333334,0.01754496962037486,0.7863312122592494,0.078125,0.921875,0.7122395833333334
bowl_on_plate,covariance_mahalanobis,32,192,87900.92704732258,39599.07086950192,0.84375,0.921875,0.00931861999892268,0.11313433101100545,0.28125,0.71875,0.0013020833333333333
bowl_on_plate,covariance_mahalanobis,64,768,92841.81106361095,45572.00796457643,0.84375,0.9700520833333334,0.007044434919901446,0.09960135755282536,0.21875,0.78125,0.002224392361111111
bowl_on_plate,covariance_mahalanobis,128,192,95507.57784096505,122194.57892169808,0.8697916666666666,0.9583333333333334,0.008613553609099791,0.10753899910886995,0.1875,0.8125,0.0013020833333333333
bowl_on_plate,euclidean_farthest,32,192,93660.74770808156,179035.14070677225,0.9270833333333334,0.9583333333333334,0.008577468572512988,0.09192283413671305,0.28125,0.71875,0.0
bowl_on_plate,euclidean_farthest,64,768,147576.6411908658,52506.71836295585,0.9440104166666666,0.9674479166666666,0.006515757163935578,0.07999801192141857,0.296875,0.703125,0.0
bowl_on_plate,euclidean_farthest,128,192,122488.2536360337,67205.42089065722,0.875,0.9635416666666666,0.006625887318832592,0.06795768993086902,0.1640625,0.8359375,0.0
bowl_on_plate,global_kmeans,32,192,110494.1923139724,76969.9877940362,0.8854166666666666,0.96875,0.0067972890001280935,0.0738823815195823,0.34375,0.65625,0.0
bowl_on_plate,global_kmeans,64,768,97219.64600061216,67001.81818420447,0.890625,0.96875,0.0069380798078149805,0.0679748554425453,0.25,0.75,0.0
bowl_on_plate,global_kmeans,128,192,114331.53755047562,74217.85465339686,0.8854166666666666,0.9583333333333334,0.008067909103106317,0.06730729967032384,0.15625,0.84375,0.0
bowl_on_plate,old_diagonal_sensitivity,32,192,98666.30473270365,57381.06316067125,0.796875,0.9739583333333334,0.008217704904444106,0.5374971368520443,0.03125,0.96875,0.3120659722222222
bowl_on_plate,old_diagonal_sensitivity,64,768,91729.63796959181,72134.81472010919,0.8958333333333334,0.97265625,0.011878202281272482,0.4837095820010428,0.046875,0.953125,0.2769639756944444
bowl_on_plate,old_diagonal_sensitivity,128,192,85639.69845668339,69563.277987096,0.9427083333333334,0.96875,0.009733581314750902,0.3972455763147293,0.015625,0.984375,0.1723090277777778
bowl_on_plate,pca_kmeans,32,192,114118.68347362512,64474.340007062805,0.953125,0.96875,0.00646950342993471,0.06645832924733149,0.40625,0.59375,0.0
bowl_on_plate,pca_kmeans,64,768,90851.41784771688,64138.567672546174,0.8528645833333334,0.9739583333333334,0.006500306067527696,0.06618200406364334,0.265625,0.734375,0.0
bowl_on_plate,pca_kmeans,128,192,110019.50511625956,55514.78267795317,0.8958333333333334,0.96875,0.006720388464181681,0.06400640835953239,0.1953125,0.8046875,0.0
bowl_on_plate,permuted_j,32,192,707021.6092840465,439314.4160817277,0.8645833333333334,0.6458333333333334,0.04630503555473802,0.9385657716116755,0.25,0.75,0.8665364583333334
bowl_on_plate,permuted_j,64,768,586963.3916823021,620595.2555435697,0.8802083333333334,0.5768229166666666,0.0664294280750442,0.9616833651753666,0.21875,0.78125,0.8825954861111112
bowl_on_plate,permuted_j,128,192,535250.4007851329,506624.4032389151,0.8177083333333334,0.7760416666666666,0.04572624156021274,0.9531655528707136,0.109375,0.890625,0.8763020833333334
bowl_on_plate,phase_conditioned_kmeans,32,192,85337.83687879085,80467.94806461789,0.8697916666666666,0.9791666666666666,0.005747460059840253,0.07790120164696422,0.109375,0.890625,0.0
bowl_on_plate,phase_conditioned_kmeans,64,768,100369.85917075229,67527.99831649351,0.8815104166666666,0.96875,0.007175075466827487,0.07731072320038766,0.109375,0.890625,0.0
bowl_on_plate,phase_conditioned_kmeans,128,192,109386.53598447272,50753.798528707004,0.8697916666666666,0.9635416666666666,0.007401799219101196,0.07567464561260119,0.05078125,0.94921875,0.0
