evidence_set,task_id,phase,method,n,settled_effect_error_mean,immediate_effect_error_mean,contact_mode_preservation,task_progress_preservation_005,task_progress_mae,action_reconstruction_error_mean,codebook_utilization,assignment_normalized_entropy,normalized_codebook_perplexity,dead_code_ratio,clipped_coordinate_rate,infeasible_assignment_rate,infeasible_token_rate,solver_latency_ms_mean
old_test_internal_screen,bowl_on_plate,contact_onset,M0_frozen_caaa_v2,192,12434.98519914769,3646.88945985734,0.71875,0.859375,0.02338707022725892,0.9959630304728408,0.015625,-0.0,0.015625,0.984375,0.9565972222222222,0.0,0.0,0.0
old_test_internal_screen,bowl_on_plate,contact_onset,M1_covariance_mahalanobis,192,643.2912153749477,675.0063728968998,0.8177083333333334,1.0,0.00981669284361101,0.11564785092325665,0.109375,0.3736554529604209,0.07391099048547513,0.890625,0.0,0.0,0.0,0.0
old_test_internal_screen,bowl_on_plate,contact_onset,M2_centered_covariance_residual,192,4.906236900170021,6.495985629709832,1.0,1.0,5.293037990209727e-05,5.26293640926102e-17,0.75,0.930827083453526,0.7499999999999998,0.25,0.0,0.0,0.0,0.0
old_test_internal_screen,bowl_on_plate,contact_onset,M3_cara,192,186.64900091973576,188.96380338851145,1.0,1.0,0.002115624261552261,0.022189614128111074,0.015625,-0.0,0.015625,0.984375,0.0,0.0,0.0,0.0
old_test_internal_screen,bowl_on_plate,contact_onset,M4_reca,192,229.79694467184595,245.05738626888433,1.0,1.0,0.0028742769612551348,0.02865325554222103,0.015625,-0.0,0.015625,0.984375,0.0,0.0,0.0078125,8.443212371048503
old_test_internal_screen,bowl_on_plate,contact_onset,M5_phase_residual_kmeans,192,4.265611008946336,4.711332194560708,1.0,1.0,4.5500357436754783e-05,1.0870976289707005e-17,0.75,0.930827083453526,0.7499999999999998,0.25,0.0,0.0,0.0,0.0
old_test_internal_screen,bowl_on_plate,contact_onset,M6_permuted_j_reca,192,413.02776211424197,475.7770426665032,0.75,1.0,0.006936157642474188,0.02865325554222103,0.015625,-0.0,0.015625,0.984375,0.0,0.0,0.0078125,8.874315465163818
old_test_internal_screen,bowl_on_plate,contact_onset,M7_random_spd_constrained,192,242.21887174689263,266.5130708440195,1.0,1.0,0.0029064494158932926,0.020706439679514646,0.015625,-0.0,0.015625,0.984375,0.0,0.0,0.0,0.33908361342582793
old_test_internal_screen,bowl_on_plate,contact_onset,O1_true_effect_oracle,192,74.59262963466854,117.48806231970623,1.0,1.0,0.0007024283072321006,0.019602175664686704,0.9375,0.9316192112121557,0.7674240372530546,0.0625,0.0,0.0,0.0,0.0
old_test_internal_screen,bowl_on_plate,contact_onset,O2_linear_j_oracle,192,187.2239345367997,246.7897819363897,1.0,1.0,0.0025550148990776886,0.017565287409471362,0.9166666666666666,0.9468858399672103,0.8141459819838205,0.08333333333333337,0.0,0.0,0.0,0.0
old_test_internal_screen,bowl_on_plate,free_space,M0_frozen_caaa_v2,192,279.062625852842,263.07080412607814,1.0,1.0,0.0,1.0721992401191853,0.015625,-0.0,0.015625,0.984375,1.0,0.0,0.0,0.0
old_test_internal_screen,bowl_on_plate,free_space,M1_covariance_mahalanobis,192,77.53564671159431,50.495073442207314,1.0,1.0,8.673617379884035e-19,0.12909455243954848,0.046875,0.25,0.044194173824159216,0.953125,0.008897569444444444,0.0,0.0,0.0
old_test_internal_screen,bowl_on_plate,free_space,M2_centered_covariance_residual,192,5.517070299414435e-13,2.4227014714325226e-13,1.0,1.0,0.0,5.460170955711407e-17,0.75,0.930827083453526,0.7499999999999998,0.25,0.0,0.0,0.0,0.0
old_test_internal_screen,bowl_on_plate,free_space,M3_cara,192,9.82950415990786,12.826201835895743,1.0,1.0,0.0,0.05935484849305417,0.015625,-0.0,0.015625,0.984375,0.0,0.0,0.0,0.0
old_test_internal_screen,bowl_on_plate,free_space,M4_reca,192,9.118935344817439,6.88746443888319,1.0,1.0,0.0,0.028710768600637444,0.015625,-0.0,0.015625,0.984375,0.0,0.0,0.015625,7.343318601670035
old_test_internal_screen,bowl_on_plate,free_space,M5_phase_residual_kmeans,192,9.53862681524037e-14,5.117363314212269e-14,1.0,1.0,0.0,1.052095073874366e-17,0.75,0.930827083453526,0.7499999999999998,0.25,0.0,0.0,0.0,0.0
old_test_internal_screen,bowl_on_plate,free_space,M6_permuted_j_reca,192,9.121243209564089,7.049539349148271,1.0,1.0,0.0,0.02871076860063745,0.015625,-0.0,0.015625,0.984375,0.0,0.0,0.015625,8.071761480550776
old_test_internal_screen,bowl_on_plate,free_space,M7_random_spd_constrained,192,14.979611296468661,8.660196633872637,1.0,1.0,0.0,0.028710482280344698,0.015625,-0.0,0.015625,0.984375,0.0,0.0,0.03125,1.9694649181474233
old_test_internal_screen,bowl_on_plate,free_space,O1_true_effect_oracle,192,4.402608337607345,3.218692868520789,1.0,1.0,0.0,0.012440213735058566,0.8333333333333334,0.9379207027821611,0.7863750494990005,0.16666666666666663,0.0,0.0,0.0,0.0
old_test_internal_screen,bowl_on_plate,free_space,O2_linear_j_oracle,192,4.402744680764747,3.218703624348265,1.0,1.0,0.0,0.012440213735058566,0.8333333333333334,0.9379207027821611,0.7863750494990005,0.16666666666666663,0.0,0.0,0.0,0.0
old_test_internal_screen,bowl_on_plate,post_contact,M0_frozen_caaa_v2,192,594823.6526537989,949724.6920491246,0.9947916666666666,0.8177083333333334,0.02136160523073442,0.12713606959257326,0.140625,0.4233014635482779,0.09086123853959426,0.859375,0.004991319444444444,0.0,0.0,0.0
old_test_internal_screen,bowl_on_plate,post_contact,M1_covariance_mahalanobis,192,370218.3652826051,181293.5596800505,0.9947916666666666,0.8802083333333334,0.015745444775879924,0.04750593553425055,0.046875,0.20787820808865168,0.03709244680192526,0.953125,0.0,0.0,0.0,0.0
old_test_internal_screen,bowl_on_plate,post_contact,M2_centered_covariance_residual,192,4175.2583321372085,401.10554641509253,1.0,1.0,4.432254513846157e-06,5.326690348345409e-17,0.75,0.930827083453526,0.7499999999999998,0.25,0.0,0.0,0.0,0.0
old_test_internal_screen,bowl_on_plate,post_contact,M3_cara,192,1190584.7035408446,1898164.2775219986,0.9635416666666666,0.5625,0.11979729451306122,0.677898079485696,0.421875,0.6346678815146757,0.21884893813551862,0.578125,0.5590277777777778,0.0,0.0,0.0
old_test_internal_screen,bowl_on_plate,post_contact,M4_reca,192,327589.3718726455,100246.42148436744,0.9947916666666666,0.8125,0.01941896017145205,0.02765235211762156,0.375,0.6234313842397938,0.20885713072639386,0.625,0.0,0.0,0.0,7.761983468526523
old_test_internal_screen,bowl_on_plate,post_contact,M5_phase_residual_kmeans,192,4583.198329341084,401.7258806661683,1.0,1.0,3.622920077527477e-06,1.0226092929945628e-17,0.75,0.930827083453526,0.7499999999999998,0.25,0.0,0.0,0.0,0.0
old_test_internal_screen,bowl_on_plate,post_contact,M6_permuted_j_reca,192,295004.82299008186,93181.46860381268,0.9947916666666666,0.8802083333333334,0.01260685502945752,0.02765235211762156,0.375,0.6234313842397938,0.20885713072639386,0.625,0.0,0.0,0.0,7.028791648508559
old_test_internal_screen,bowl_on_plate,post_contact,M7_random_spd_constrained,192,301585.8108707873,106899.50302900193,0.9947916666666666,0.8802083333333334,0.012793109851925116,0.023687850747473333,0.53125,0.693629586959527,0.2796661445706269,0.46875,0.0,0.0,0.0,7.7173688671337
old_test_internal_screen,bowl_on_plate,post_contact,O1_true_effect_oracle,192,26993.749817703505,109614.10532538472,0.9947916666666666,1.0,0.00021473702887817142,0.02231163574709415,0.9375,0.9321695617938291,0.7690607907164323,0.0625,0.0,0.0,0.0,0.0
old_test_internal_screen,bowl_on_plate,post_contact,O2_linear_j_oracle,192,286023.9606037406,95971.49989344343,0.9947916666666666,0.8697916666666666,0.014305396731107358,0.020982003192413223,0.9583333333333334,0.9395970530601256,0.7914948160130194,0.04166666666666663,0.0,0.0,0.0,0.0
old_test_internal_screen,bowl_on_plate,pre_contact,M0_frozen_caaa_v2,192,3826.8582828026792,1250.1482922501484,0.5572916666666666,0.5,0.03254962387155718,1.000866083804015,0.015625,-0.0,0.015625,0.984375,0.9583333333333334,0.0,0.0,0.0
old_test_internal_screen,bowl_on_plate,pre_contact,M1_covariance_mahalanobis,192,428.0521097522084,268.9707319160768,0.5625,1.0,0.0026156020601148544,0.10615709131424579,0.109375,0.36217964925508084,0.0704663303496965,0.890625,0.0,0.0,0.0,0.0
old_test_internal_screen,bowl_on_plate,pre_contact,M2_centered_covariance_residual,192,0.9821115885319873,1.4701421792497145,1.0,1.0,2.97005636985583e-06,5.184765178585182e-17,0.75,0.930827083453526,0.7499999999999998,0.25,0.0,0.0,0.0,0.0
old_test_internal_screen,bowl_on_plate,pre_contact,M3_cara,192,126.46635775646457,63.52958694833821,0.6927083333333334,1.0,0.0010317176600468673,0.02132030815136754,0.015625,-0.0,0.015625,0.984375,0.0,0.0,0.0,0.0
old_test_internal_screen,bowl_on_plate,pre_contact,M4_reca,192,190.16097825211955,65.9243187288176,0.796875,1.0,0.0012899888375650257,0.02871111895362306,0.015625,-0.0,0.015625,0.984375,0.0,0.0,0.015625,8.442525910368204
old_test_internal_screen,bowl_on_plate,pre_contact,M5_phase_residual_kmeans,192,0.7301243909837883,1.3016317955941414,1.0,1.0,1.798369783357484e-06,1.0333508059073037e-17,0.75,0.930827083453526,0.7499999999999998,0.25,0.0,0.0,0.0,0.0
old_test_internal_screen,bowl_on_plate,pre_contact,M6_permuted_j_reca,192,151.0130169832838,79.07297687164619,0.8072916666666666,1.0,0.0011181972254528027,0.028711118953623063,0.015625,-0.0,0.015625,0.984375,0.0,0.0,0.015625,8.340876121337715
