evidence_set,task_id,method,n,settled_effect_error_mean,immediate_effect_error_mean,contact_mode_preservation,task_progress_preservation_005,task_progress_mae,action_reconstruction_error_mean,codebook_utilization,assignment_normalized_entropy,normalized_codebook_perplexity,dead_code_ratio,clipped_coordinate_rate,infeasible_assignment_rate,infeasible_token_rate,solver_latency_ms_mean
old_test_internal_screen,bowl_on_plate,M0_frozen_caaa_v2,768,152841.13969040054,238721.2001513395,0.8177083333333334,0.7942708333333334,0.019324574832387628,0.7990411059971536,0.140625,0.18805748738879657,0.034157469852342505,0.859375,0.72998046875,0.0,0.0,0.0
old_test_internal_screen,bowl_on_plate,M1_covariance_mahalanobis,768,92841.81106361096,45572.00796457643,0.84375,0.9700520833333334,0.007044434919901446,0.09960135755282536,0.21875,0.5259274802798953,0.1392322074411079,0.78125,0.002224392361111111,0.0,0.0,0.0
old_test_internal_screen,bowl_on_plate,M2_centered_covariance_residual,768,1045.2866701564776,102.26791855601307,1.0,1.0,1.5083172696449815e-05,5.308640722975755e-17,0.75,0.930827083453526,0.7499999999999998,0.25,0.0,0.0,0.0,0.0
old_test_internal_screen,bowl_on_plate,M3_cara,768,297726.91210092016,474607.3992785428,0.9140625,0.890625,0.030736159108665086,0.1951907125645572,0.421875,0.23465673669869555,0.04146219832002562,0.578125,0.13975694444444445,0.0,0.0,0.0
old_test_internal_screen,bowl_on_plate,M4_reca,768,82004.6121827286,25141.072663451007,0.9479166666666666,0.953125,0.005895806492568052,0.028431873803525774,0.375,0.23109137075930528,0.040851934982781786,0.625,0.0,0.0,0.009765625,7.997760087903316
old_test_internal_screen,bowl_on_plate,M5_phase_residual_kmeans,768,1147.0485161852532,101.93471116408081,1.0,1.0,1.2730411824409937e-05,1.0487882004367332e-17,0.765625,0.9351503907376808,0.7636070589090922,0.234375,0.0,0.0,0.0,0.0
old_test_internal_screen,bowl_on_plate,M6_permuted_j_reca,768,73894.49625309724,23435.842040674994,0.8880208333333334,0.9700520833333334,0.005165302474346128,0.028431873803525774,0.375,0.23109137075930528,0.040851934982781786,0.625,0.0,0.0,0.009765625,8.078936178890217
old_test_internal_screen,bowl_on_plate,M7_random_spd_constrained,768,75496.10731128066,26809.8109692158,0.9505208333333334,0.9700520833333334,0.004215218574952898,0.023490939021816797,0.53125,0.24939716305990847,0.044083512137455455,0.46875,0.0,0.0,0.0078125,2.5837042081207073
old_test_internal_screen,bowl_on_plate,O1_true_effect_oracle,768,6780.3562271031615,27445.382970186172,0.9622395833333334,1.0,0.0003330987166268819,0.018275505466447666,1.0,0.978906359288383,0.9215873426426433,0.0,0.0,0.0,0.0,0.0
old_test_internal_screen,bowl_on_plate,O2_linear_j_oracle,768,71576.69194472453,24067.132745700063,0.9609375,0.9674479166666666,0.004397298025766856,0.017138197936603632,1.0,0.9918721581799654,0.9690253470664061,0.0,0.0,0.0,0.0,0.0
old_test_internal_screen,plate_push,M0_frozen_caaa_v2,768,1143.2144187016222,878.4128662060488,0.6888020833333334,1.0,0.0028049589260122775,1.0664808367804526,0.015625,-0.0,0.015625,0.984375,1.0,0.0,0.0,0.0
old_test_internal_screen,plate_push,M1_covariance_mahalanobis,768,429.8537001721659,354.61366642095345,0.7109375,1.0,0.0017099481139629038,0.14155431375737101,0.25,0.6089219438356656,0.1966267707239786,0.75,0.0,0.0,0.0,0.0
old_test_internal_screen,plate_push,M2_centered_covariance_residual,768,0.0417323933600293,0.053450920165198666,1.0,1.0,3.2097078303444615e-08,5.510729239788491e-17,0.75,0.930827083453526,0.7499999999999998,0.25,0.0,0.0,0.0,0.0
old_test_internal_screen,plate_push,M3_cara,768,72.34585204578474,67.92483479345498,0.9986979166666666,1.0,0.000298520989608403,0.032074371258792714,0.015625,-0.0,0.015625,0.984375,0.0,0.0,0.0,0.0
old_test_internal_screen,plate_push,M4_reca,768,77.71299964487092,75.00106015986172,0.9986979166666666,1.0,0.00029846399688129627,0.0287112067443967,0.015625,-0.0,0.015625,0.984375,0.0,0.0,0.01171875,8.22103665711893
old_test_internal_screen,plate_push,M5_phase_residual_kmeans,768,0.06067207151391273,0.0655022309177517,1.0,1.0,4.496026437668119e-08,1.0153546822612783e-17,0.765625,0.9351503907376808,0.7636070589090922,0.234375,0.0,0.0,0.0,0.0
old_test_internal_screen,plate_push,M6_permuted_j_reca,768,80.02753731768509,73.64134320228477,0.9986979166666666,1.0,0.0003205124179346403,0.0287112067443967,0.015625,-0.0,0.015625,0.984375,0.0,0.0,0.01171875,8.058943393507434
old_test_internal_screen,plate_push,M7_random_spd_constrained,768,73.67390908538974,63.56424378132477,0.9986979166666666,1.0,0.00030011536865186294,0.02280284531421924,0.015625,-0.0,0.015625,0.984375,0.0,0.0,0.009765625,0.5754702530680333
old_test_internal_screen,plate_push,O1_true_effect_oracle,768,33.287854925100866,44.17607764544025,0.9986979166666666,1.0,0.0001492817794360385,0.016399004618178708,1.0,0.9723917819061757,0.8986362327783947,0.0,0.0,0.0,0.0,0.0
old_test_internal_screen,plate_push,O2_linear_j_oracle,768,36.52601177985834,42.50151721198455,0.9986979166666666,1.0,0.00014832356194046823,0.01546269308150714,1.0,0.9747543696185157,0.9068929068679207,0.0,0.0,0.0,0.0,0.0
old_test_internal_screen,stove_turn_on,M0_frozen_caaa_v2,768,2790.8660733953816,916.1855903260315,0.6354166666666666,0.6861979166666666,0.08507542105568018,0.6827983291855624,0.015625,-0.0,0.015625,0.984375,0.4229058159722222,0.0,0.0,0.0
old_test_internal_screen,stove_turn_on,M1_covariance_mahalanobis,768,522.2772567573882,352.83242107090047,0.8411458333333334,0.8463541666666666,0.01574725417712079,0.07793031847626038,0.234375,0.6044301503084814,0.19298771283539884,0.765625,0.0,0.0,0.0,0.0
old_test_internal_screen,stove_turn_on,M2_centered_covariance_residual,768,2.5161329061627735,2.7175253657643506,1.0,1.0,4.50317000469747e-06,5.365391014936616e-17,0.75,0.930827083453526,0.7499999999999998,0.25,0.0,0.0,0.0,0.0
old_test_internal_screen,stove_turn_on,M3_cara,768,105.57733767707577,83.17870015959717,0.96484375,1.0,0.002432859252703228,0.028241030430530268,0.015625,-0.0,0.015625,0.984375,0.0,0.0,0.0,0.0
old_test_internal_screen,stove_turn_on,M4_reca,768,99.33283810904227,103.39962749111316,0.9153645833333334,1.0,0.002316809886545527,0.02870709740724782,0.015625,-0.0,0.015625,0.984375,0.0,0.0,0.015625,8.440619729356058
old_test_internal_screen,stove_turn_on,M5_phase_residual_kmeans,768,2.483550151315316,2.6156541459164457,1.0,1.0,4.738328743933167e-06,1.099590201324685e-17,0.765625,0.9351503907376808,0.7636070589090922,0.234375,0.0,0.0,0.0,0.0
old_test_internal_screen,stove_turn_on,M6_permuted_j_reca,768,109.5219391265739,93.01873521676488,0.9153645833333334,1.0,0.002595071338256476,0.028707097407247816,0.015625,-0.0,0.015625,0.984375,0.0,0.0,0.015625,7.75939337103182
old_test_internal_screen,stove_turn_on,M7_random_spd_constrained,768,105.48915663698881,115.26534668369264,0.96484375,1.0,0.0025169919593813973,0.024863106044734632,0.015625,-0.0,0.015625,0.984375,0.0,0.0,0.01171875,3.807120244005091
old_test_internal_screen,stove_turn_on,O1_true_effect_oracle,768,25.316330526532386,71.21745630818837,0.96484375,1.0,0.0005182511922418857,0.01965533299417419,1.0,0.9553564845827892,0.8412856495734234,0.0,0.0,0.0,0.0,0.0
old_test_internal_screen,stove_turn_on,O2_linear_j_oracle,768,57.88640197321939,70.49174380448765,0.95703125,1.0,0.001221314802210473,0.01878084975532568,1.0,0.9611252570815899,0.8602846603599992,0.0,0.0,0.0,0.0,0.0
old_test_internal_screen,wine_rack,M0_frozen_caaa_v2,768,254794.97201470193,290173.786945524,0.7747395833333334,0.8359375,0.035675084775359134,0.5505534760522343,0.125,0.1346745511845454,0.027356876091763353,0.875,0.3752712673611111,0.0,0.0,0.0
old_test_internal_screen,wine_rack,M1_covariance_mahalanobis,768,200979.10186568854,356553.6677457139,0.8385416666666666,0.9557291666666666,0.017455965089898943,0.06053241020281209,0.140625,0.4376072392880427,0.09643117488433182,0.859375,0.0,0.0,0.0,0.0
old_test_internal_screen,wine_rack,M2_centered_covariance_residual,768,7799.388455663585,19364.653133292133,1.0,1.0,1.1606481596496232e-05,5.241949728983547e-17,0.75,0.930827083453526,0.7499999999999998,0.25,0.0,0.0,0.0,0.0
old_test_internal_screen,wine_rack,M3_cara,768,363093.39166796836,417023.7695975898,0.94140625,0.9401041666666666,0.02048285831568242,0.1534247809079087,0.328125,0.1339493862320826,0.02727449542617753,0.671875,0.11821831597222222,0.0,0.0,0.0
old_test_internal_screen,wine_rack,M4_reca,768,62640.55888354359,288401.01510984596,0.94140625,0.9817708333333334,0.007545164098334688,0.028568392721366128,0.375,0.14139759022017837,0.0281325773637773,0.625,0.0,0.0,0.00390625,7.888187817343351
old_test_internal_screen,wine_rack,M5_phase_residual_kmeans,768,5305.9664408437375,17554.03048194007,0.9986979166666666,1.0,1.4058905192580105e-05,1.1336288928017841e-17,0.765625,0.9351503907376808,0.7636070589090922,0.234375,0.0,0.0,0.0,0.0
old_test_internal_screen,wine_rack,M6_permuted_j_reca,768,49187.799960862925,274823.4278382386,0.9361979166666666,0.9791666666666666,0.008579455510599814,0.02856839272136613,0.375,0.14139759022017837,0.0281325773637773,0.625,0.0,0.0,0.00390625,7.624679546722746
old_test_internal_screen,wine_rack,M7_random_spd_constrained,768,69170.4375352413,377667.64170614025,0.94140625,0.98046875,0.008231173597623927,0.023851393380623778,0.484375,0.258610685764022,0.045805483078353165,0.515625,0.0,0.0,0.0078125,3.975473993136802
old_test_internal_screen,wine_rack,O1_true_effect_oracle,768,3080.4173517390886,329343.0787039571,0.9375,1.0,0.0004958610190815127,0.01911325789399591,1.0,0.9602808136141309,0.8574769725348248,0.0,0.0,0.0,0.0,0.0
old_test_internal_screen,wine_rack,O2_linear_j_oracle,768,69789.82046002007,287376.13654138986,0.9440104166666666,0.9830729166666666,0.006950534599943916,0.018419466355206828,1.0,0.9686524392292538,0.8857215025959965,0.0,0.0,0.0,0.0,0.0
