eligible_reversal_comparisons,level,metric,n_states,n_targets_per_state,phase,split,task_id,train_robust_margin,valid_reversals,value
1024,task_phase,train_robust_reversal_margin_q25,16,96,contact_onset,TRAIN_EPISODES_16_31,bowl_on_plate,0.0859934538603,0,0.0859934538603
1024,task_phase,train_robust_reversal_margin_q25,16,96,free_space,TRAIN_EPISODES_16_31,bowl_on_plate,0.0319591006264,0,0.0319591006264
1024,task_phase,train_robust_reversal_margin_q25,16,96,post_contact,TRAIN_EPISODES_16_31,bowl_on_plate,0.0983655154705,0,0.0983655154705
1024,task_phase,train_robust_reversal_margin_q25,16,96,pre_contact,TRAIN_EPISODES_16_31,bowl_on_plate,0.10503000021,0,0.10503000021
1024,task_phase,train_robust_reversal_margin_q25,16,96,contact_onset,TRAIN_EPISODES_16_31,plate_push,0.0498240217566,0,0.0498240217566
1024,task_phase,train_robust_reversal_margin_q25,16,96,free_space,TRAIN_EPISODES_16_31,plate_push,0.0306723956019,0,0.0306723956019
1024,task_phase,train_robust_reversal_margin_q25,16,96,post_contact,TRAIN_EPISODES_16_31,plate_push,0.105768725276,0,0.105768725276
1024,task_phase,train_robust_reversal_margin_q25,16,96,pre_contact,TRAIN_EPISODES_16_31,plate_push,0.0586672201753,0,0.0586672201753
1024,task_phase,train_robust_reversal_margin_q25,16,96,contact_onset,TRAIN_EPISODES_16_31,stove_turn_on,0.0666021686047,0,0.0666021686047
1024,task_phase,train_robust_reversal_margin_q25,16,96,free_space,TRAIN_EPISODES_16_31,stove_turn_on,0.0309706488624,0,0.0309706488624
1024,task_phase,train_robust_reversal_margin_q25,16,96,post_contact,TRAIN_EPISODES_16_31,stove_turn_on,0.126716852188,0,0.126716852188
1024,task_phase,train_robust_reversal_margin_q25,16,96,pre_contact,TRAIN_EPISODES_16_31,stove_turn_on,0.0916927196085,0,0.0916927196085
1024,task_phase,train_robust_reversal_margin_q25,16,96,contact_onset,TRAIN_EPISODES_16_31,wine_rack,0.0707873143256,0,0.0707873143256
1024,task_phase,train_robust_reversal_margin_q25,16,96,free_space,TRAIN_EPISODES_16_31,wine_rack,0.0258788280189,0,0.0258788280189
1024,task_phase,train_robust_reversal_margin_q25,16,96,post_contact,TRAIN_EPISODES_16_31,wine_rack,0.0600762106478,0,0.0600762106478
1024,task_phase,train_robust_reversal_margin_q25,16,96,pre_contact,TRAIN_EPISODES_16_31,wine_rack,0.0873894989491,0,0.0873894989491
3074,task_phase,context_reversal_rate,4,96,contact_onset,DEVELOPMENT_EPISODES_36_39,bowl_on_plate,0.0859934538603,1259,0.409564085882
3074,task_phase,eligible_reversal_comparison_fraction,4,96,contact_onset,DEVELOPMENT_EPISODES_36_39,bowl_on_plate,0.0859934538603,1259,0.75048828125
3074,task_phase,true_top8_jaccard_across_states,4,96,contact_onset,DEVELOPMENT_EPISODES_36_39,bowl_on_plate,0.0859934538603,1259,0.0403782560033
3074,task_phase,best_candidate_churn,4,96,contact_onset,DEVELOPMENT_EPISODES_36_39,bowl_on_plate,0.0859934538603,1259,0.977430555556
3074,task_phase,state_conditioned_oracle_error,4,96,contact_onset,DEVELOPMENT_EPISODES_36_39,bowl_on_plate,0.0859934538603,1259,0.0895864408952
3074,task_phase,leave_one_state_out_global_averaged_effect_oracle_error,4,96,contact_onset,DEVELOPMENT_EPISODES_36_39,bowl_on_plate,0.0859934538603,1259,0.67572833098
3074,task_phase,global_averaged_effect_oracle_regret,4,96,contact_onset,DEVELOPMENT_EPISODES_36_39,bowl_on_plate,0.0859934538603,1259,0.586141889784
2964,task_phase,context_reversal_rate,4,96,free_space,DEVELOPMENT_EPISODES_36_39,bowl_on_plate,0.0319591006264,0,0
2964,task_phase,eligible_reversal_comparison_fraction,4,96,free_space,DEVELOPMENT_EPISODES_36_39,bowl_on_plate,0.0319591006264,0,0.7236328125
2964,task_phase,true_top8_jaccard_across_states,4,96,free_space,DEVELOPMENT_EPISODES_36_39,bowl_on_plate,0.0319591006264,0,0.858487654321
2964,task_phase,best_candidate_churn,4,96,free_space,DEVELOPMENT_EPISODES_36_39,bowl_on_plate,0.0319591006264,0,0.0989583333333
