action_reconstruction_rmse,balanced_task_effect_error,baseline_error,baseline_method,best_error,best_method,control_error,control_method,dimension,episode_id,error_group_contact_mode_and_penetration,error_group_gripper_and_articulation,error_group_object_pose,error_group_task_progress_and_constraint,error_group_tcp_object_relative_pose,gain_retention,linear_extrapolation_nrmse,mean_antithetic_asymmetry,mean_log_radius_scaling_deviation,method,n,phase,reproduced_gain,row_type,split,task_id,value
,,0.3325983705199762,B2_phase_residual,0.3310918063219148,MC_NCEA,0.3373787862872662,P3_mode_shuffled_atlas,,,,,,,,0.0,,,,,,,False,,development,,
,,0.3325983705199762,B2_phase_residual,0.3310918063219148,MC_NCEA,0.3458086172646396,P4_state_shuffled_atlas,,,,,,,,0.0,,,,,,,False,,development,,
,,0.3325983705199762,B2_phase_residual,0.3310918063219148,MC_NCEA,0.4179532330478973,P5_effect_shuffled_atlas,,,,,,,,0.0,,,,,,,False,,development,,
,,0.3325983705199762,B2_phase_residual,0.3310918063219148,MC_NCEA,0.36531783433210313,P6_random_latent_atlas,,,,,,,,0.0,,,,,,,False,,development,,
0.0,0.0,,,,,,,task,,0.0,0.0,0.0,0.0,0.0,,,,,B0_continuous_target,1536,,,quantization_decomposition,,,bowl_on_plate
0.0,0.0,,,,,,,task,,0.0,0.0,0.0,0.0,0.0,,,,,B0_continuous_target,1536,,,quantization_decomposition,,,plate_push
0.0,0.0,,,,,,,task,,0.0,0.0,0.0,0.0,0.0,,,,,B0_continuous_target,1536,,,quantization_decomposition,,,stove_turn_on
0.0,0.0,,,,,,,task,,0.0,0.0,0.0,0.0,0.0,,,,,B0_continuous_target,1536,,,quantization_decomposition,,,wine_rack
0.0,0.0,,,,,,,phase,,0.0,0.0,0.0,0.0,0.0,,,,,B0_continuous_target,1536,,,quantization_decomposition,,,free_space
0.0,0.0,,,,,,,phase,,0.0,0.0,0.0,0.0,0.0,,,,,B0_continuous_target,1536,,,quantization_decomposition,,,pre_contact
0.0,0.0,,,,,,,phase,,0.0,0.0,0.0,0.0,0.0,,,,,B0_continuous_target,1536,,,quantization_decomposition,,,contact_onset
0.0,0.0,,,,,,,phase,,0.0,0.0,0.0,0.0,0.0,,,,,B0_continuous_target,1536,,,quantization_decomposition,,,post_contact
0.0,0.0,,,,,,,direction_family,,0.0,0.0,0.0,0.0,0.0,,,,,B0_continuous_target,3072,,,quantization_decomposition,,,0
0.0,0.0,,,,,,,direction_family,,0.0,0.0,0.0,0.0,0.0,,,,,B0_continuous_target,1536,,,quantization_decomposition,,,1
