action_reconstruction_rmse,atlas_size,atlas_unique,balanced_task_effect_error,clipped,contact_force_effect_error,contact_mode_preserved,decoded_bank_index,decoded_mode,decoded_uncertainty,direction_family_id,direction_id,episode_id,error_group_contact_mode_and_penetration,error_group_gripper_and_articulation,error_group_object_pose,error_group_task_progress_and_constraint,error_group_tcp_object_relative_pose,method,nearest_predicted_distance,phase,radius,sign,split,target_id,target_mode,target_uncertainty,task_id,task_progress_abs_error
0.0,,,0.0,0,0.0,1,-1,0,,0,0,24,0.0,0.0,0.0,0.0,0.0,B0_continuous_target,,free_space,0.07889801826272545,-1,calibration,0,0,,bowl_on_plate,0.0
0.0,,,0.0,0,0.0,1,-1,0,,0,0,24,0.0,0.0,0.0,0.0,0.0,B0_continuous_target,,free_space,0.07889801826272545,1,calibration,1,0,,bowl_on_plate,0.0
0.0,,,0.0,0,0.0,1,-1,0,,0,0,24,0.0,0.0,0.0,0.0,0.0,B0_continuous_target,,free_space,0.09923409412371065,-1,calibration,2,0,,bowl_on_plate,0.0
0.0,,,0.0,0,0.0,1,-1,0,,0,0,24,0.0,0.0,0.0,0.0,0.0,B0_continuous_target,,free_space,0.09923409412371065,1,calibration,3,0,,bowl_on_plate,0.0
0.0,,,0.0,0,0.0,1,-1,0,,0,1,24,0.0,0.0,0.0,0.0,0.0,B0_continuous_target,,free_space,0.06344773899890344,-1,calibration,4,0,,bowl_on_plate,0.0
0.0,,,0.0,0,0.0,1,-1,0,,0,1,24,0.0,0.0,0.0,0.0,0.0,B0_continuous_target,,free_space,0.06344773899890344,1,calibration,5,0,,bowl_on_plate,0.0
0.0,,,0.0,0,0.0,1,-1,0,,0,1,24,0.0,0.0,0.0,0.0,0.0,B0_continuous_target,,free_space,0.06380515361531033,-1,calibration,6,0,,bowl_on_plate,0.0
0.0,,,0.0,0,0.0,1,-1,0,,0,1,24,0.0,0.0,0.0,0.0,0.0,B0_continuous_target,,free_space,0.06380515361531033,1,calibration,7,0,,bowl_on_plate,0.0
0.0,,,0.0,0,0.0,1,-1,0,,0,2,24,0.0,0.0,0.0,0.0,0.0,B0_continuous_target,,free_space,0.07274857804812836,-1,calibration,8,0,,bowl_on_plate,0.0
0.0,,,0.0,0,0.0,1,-1,0,,0,2,24,0.0,0.0,0.0,0.0,0.0,B0_continuous_target,,free_space,0.07274857804812836,1,calibration,9,0,,bowl_on_plate,0.0
0.0,,,0.0,0,0.0,1,-1,0,,0,2,24,0.0,0.0,0.0,0.0,0.0,B0_continuous_target,,free_space,0.07967820971683573,-1,calibration,10,0,,bowl_on_plate,0.0
0.0,,,0.0,0,0.0,1,-1,0,,0,2,24,0.0,0.0,0.0,0.0,0.0,B0_continuous_target,,free_space,0.07967820971683573,1,calibration,11,0,,bowl_on_plate,0.0
0.0,,,0.0,0,0.0,1,-1,0,,0,3,24,0.0,0.0,0.0,0.0,0.0,B0_continuous_target,,free_space,0.08041090537922055,-1,calibration,12,0,,bowl_on_plate,0.0
0.0,,,0.0,0,0.0,1,-1,0,,0,3,24,0.0,0.0,0.0,0.0,0.0,B0_continuous_target,,free_space,0.08041090537922055,1,calibration,13,0,,bowl_on_plate,0.0
0.0,,,0.0,0,0.0,1,-1,0,,0,3,24,0.0,0.0,0.0,0.0,0.0,B0_continuous_target,,free_space,0.11182237591054531,-1,calibration,14,0,,bowl_on_plate,0.0
0.0,,,0.0,0,0.0,1,-1,0,,0,3,24,0.0,0.0,0.0,0.0,0.0,B0_continuous_target,,free_space,0.11182237591054531,1,calibration,15,0,,bowl_on_plate,0.0
0.0,,,0.0,0,0.0,1,-1,0,,0,4,24,0.0,0.0,0.0,0.0,0.0,B0_continuous_target,,free_space,0.04743415964908735,-1,calibration,16,0,,bowl_on_plate,0.0
0.0,,,0.0,0,0.0,1,-1,0,,0,4,24,0.0,0.0,0.0,0.0,0.0,B0_continuous_target,,free_space,0.04743415964908735,1,calibration,17,0,,bowl_on_plate,0.0
0.0,,,0.0,0,0.0,1,-1,0,,0,4,24,0.0,0.0,0.0,0.0,0.0,B0_continuous_target,,free_space,0.11889672876567223,-1,calibration,18,0,,bowl_on_plate,0.0
0.0,,,0.0,0,0.0,1,-1,0,,0,4,24,0.0,0.0,0.0,0.0,0.0,B0_continuous_target,,free_space,0.11889672876567223,1,calibration,19,0,,bowl_on_plate,0.0
0.0,,,0.0,0,0.0,1,-1,0,,0,5,24,0.0,0.0,0.0,0.0,0.0,B0_continuous_target,,free_space,0.08366980148782485,-1,calibration,20,0,,bowl_on_plate,0.0
0.0,,,0.0,0,0.0,1,-1,0,,0,5,24,0.0,0.0,0.0,0.0,0.0,B0_continuous_target,,free_space,0.08366980148782485,1,calibration,21,0,,bowl_on_plate,0.0
0.0,,,0.0,0,0.0,1,-1,0,,0,5,24,0.0,0.0,0.0,0.0,0.0,B0_continuous_target,,free_space,0.0949289637913078,-1,calibration,22,0,,bowl_on_plate,0.0
0.0,,,0.0,0,0.0,1,-1,0,,0,5,24,0.0,0.0,0.0,0.0,0.0,B0_continuous_target,,free_space,0.0949289637913078,1,calibration,23,0,,bowl_on_plate,0.0
0.0,,,0.0,0,0.0,1,-1,0,,0,6,24,0.0,0.0,0.0,0.0,0.0,B0_continuous_target,,free_space,0.06496782162284817,-1,calibration,24,0,,bowl_on_plate,0.0
0.0,,,0.0,0,0.0,1,-1,0,,0,6,24,0.0,0.0,0.0,0.0,0.0,B0_continuous_target,,free_space,0.06496782162284817,1,calibration,25,0,,bowl_on_plate,0.0
0.0,,,0.0,0,0.0,1,-1,0,,0,6,24,0.0,0.0,0.0,0.0,0.0,B0_continuous_target,,free_space,0.09823956812115231,-1,calibration,26,0,,bowl_on_plate,0.0
0.0,,,0.0,0,0.0,1,-1,0,,0,6,24,0.0,0.0,0.0,0.0,0.0,B0_continuous_target,,free_space,0.09823956812115231,1,calibration,27,0,,bowl_on_plate,0.0
0.0,,,0.0,0,0.0,1,-1,0,,0,7,24,0.0,0.0,0.0,0.0,0.0,B0_continuous_target,,free_space,0.09865676124329048,-1,calibration,28,0,,bowl_on_plate,0.0
0.0,,,0.0,0,0.0,1,-1,0,,0,7,24,0.0,0.0,0.0,0.0,0.0,B0_continuous_target,,free_space,0.09865676124329048,1,calibration,29,0,,bowl_on_plate,0.0
0.0,,,0.0,0,0.0,1,-1,0,,0,7,24,0.0,0.0,0.0,0.0,0.0,B0_continuous_target,,free_space,0.1171709400574521,-1,calibration,30,0,,bowl_on_plate,0.0
0.0,,,0.0,0,0.0,1,-1,0,,0,7,24,0.0,0.0,0.0,0.0,0.0,B0_continuous_target,,free_space,0.1171709400574521,1,calibration,31,0,,bowl_on_plate,0.0
0.0,,,0.0,0,0.0,1,-1,0,,0,8,24,0.0,0.0,0.0,0.0,0.0,B0_continuous_target,,free_space,0.040132775905973715,-1,calibration,32,0,,bowl_on_plate,0.0
0.0,,,0.0,0,0.0,1,-1,0,,0,8,24,0.0,0.0,0.0,0.0,0.0,B0_continuous_target,,free_space,0.040132775905973715,1,calibration,33,0,,bowl_on_plate,0.0
0.0,,,0.0,0,0.0,1,-1,0,,0,8,24,0.0,0.0,0.0,0.0,0.0,B0_continuous_target,,free_space,0.05616454152654733,-1,calibration,34,0,,bowl_on_plate,0.0
0.0,,,0.0,0,0.0,1,-1,0,,0,8,24,0.0,0.0,0.0,0.0,0.0,B0_continuous_target,,free_space,0.05616454152654733,1,calibration,35,0,,bowl_on_plate,0.0
0.0,,,0.0,0,0.0,1,-1,0,,0,9,24,0.0,0.0,0.0,0.0,0.0,B0_continuous_target,,free_space,0.06882552499926577,-1,calibration,36,0,,bowl_on_plate,0.0
0.0,,,0.0,0,0.0,1,-1,0,,0,9,24,0.0,0.0,0.0,0.0,0.0,B0_continuous_target,,free_space,0.06882552499926577,1,calibration,37,0,,bowl_on_plate,0.0
0.0,,,0.0,0,0.0,1,-1,0,,0,9,24,0.0,0.0,0.0,0.0,0.0,B0_continuous_target,,free_space,0.09742685479386938,-1,calibration,38,0,,bowl_on_plate,0.0
0.0,,,0.0,0,0.0,1,-1,0,,0,9,24,0.0,0.0,0.0,0.0,0.0,B0_continuous_target,,free_space,0.09742685479386938,1,calibration,39,0,,bowl_on_plate,0.0
0.0,,,0.0,0,0.0,1,-1,0,,0,10,24,0.0,0.0,0.0,0.0,0.0,B0_continuous_target,,free_space,0.09347553355210028,-1,calibration,40,0,,bowl_on_plate,0.0
0.0,,,0.0,0,0.0,1,-1,0,,0,10,24,0.0,0.0,0.0,0.0,0.0,B0_continuous_target,,free_space,0.09347553355210028,1,calibration,41,0,,bowl_on_plate,0.0
0.0,,,0.0,0,0.0,1,-1,0,,0,10,24,0.0,0.0,0.0,0.0,0.0,B0_continuous_target,,free_space,0.09388615285125679,-1,calibration,42,0,,bowl_on_plate,0.0
0.0,,,0.0,0,0.0,1,-1,0,,0,10,24,0.0,0.0,0.0,0.0,0.0,B0_continuous_target,,free_space,0.09388615285125679,1,calibration,43,0,,bowl_on_plate,0.0
0.0,,,0.0,0,0.0,1,-1,0,,0,11,24,0.0,0.0,0.0,0.0,0.0,B0_continuous_target,,free_space,0.05790458088939112,-1,calibration,44,0,,bowl_on_plate,0.0
0.0,,,0.0,0,0.0,1,-1,0,,0,11,24,0.0,0.0,0.0,0.0,0.0,B0_continuous_target,,free_space,0.05790458088939112,1,calibration,45,0,,bowl_on_plate,0.0
0.0,,,0.0,0,0.0,1,-1,0,,0,11,24,0.0,0.0,0.0,0.0,0.0,B0_continuous_target,,free_space,0.09114972439128008,-1,calibration,46,0,,bowl_on_plate,0.0
0.0,,,0.0,0,0.0,1,-1,0,,0,11,24,0.0,0.0,0.0,0.0,0.0,B0_continuous_target,,free_space,0.09114972439128008,1,calibration,47,0,,bowl_on_plate,0.0
0.0,,,0.0,0,0.0,1,-1,0,,1,12,24,0.0,0.0,0.0,0.0,0.0,B0_continuous_target,,free_space,0.04849538120216677,-1,calibration,48,0,,bowl_on_plate,0.0
0.0,,,0.0,0,0.0,1,-1,0,,1,12,24,0.0,0.0,0.0,0.0,0.0,B0_continuous_target,,free_space,0.04849538120216677,1,calibration,49,0,,bowl_on_plate,0.0
0.0,,,0.0,0,0.0,1,-1,0,,1,12,24,0.0,0.0,0.0,0.0,0.0,B0_continuous_target,,free_space,0.11788171396384517,-1,calibration,50,0,,bowl_on_plate,0.0
0.0,,,0.0,0,0.0,1,-1,0,,1,12,24,0.0,0.0,0.0,0.0,0.0,B0_continuous_target,,free_space,0.11788171396384517,1,calibration,51,0,,bowl_on_plate,0.0
0.0,,,0.0,0,0.0,1,-1,0,,1,13,24,0.0,0.0,0.0,0.0,0.0,B0_continuous_target,,free_space,0.054424001875091194,-1,calibration,52,0,,bowl_on_plate,0.0
0.0,,,0.0,0,0.0,1,-1,0,,1,13,24,0.0,0.0,0.0,0.0,0.0,B0_continuous_target,,free_space,0.054424001875091194,1,calibration,53,0,,bowl_on_plate,0.0
0.0,,,0.0,0,0.0,1,-1,0,,1,13,24,0.0,0.0,0.0,0.0,0.0,B0_continuous_target,,free_space,0.06050041272982211,-1,calibration,54,0,,bowl_on_plate,0.0
0.0,,,0.0,0,0.0,1,-1,0,,1,13,24,0.0,0.0,0.0,0.0,0.0,B0_continuous_target,,free_space,0.06050041272982211,1,calibration,55,0,,bowl_on_plate,0.0
0.0,,,0.0,0,0.0,1,-1,0,,1,14,24,0.0,0.0,0.0,0.0,0.0,B0_continuous_target,,free_space,0.05093828924854248,-1,calibration,56,0,,bowl_on_plate,0.0
0.0,,,0.0,0,0.0,1,-1,0,,1,14,24,0.0,0.0,0.0,0.0,0.0,B0_continuous_target,,free_space,0.05093828924854248,1,calibration,57,0,,bowl_on_plate,0.0
0.0,,,0.0,0,0.0,1,-1,0,,1,14,24,0.0,0.0,0.0,0.0,0.0,B0_continuous_target,,free_space,0.07960176850725655,-1,calibration,58,0,,bowl_on_plate,0.0
0.0,,,0.0,0,0.0,1,-1,0,,1,14,24,0.0,0.0,0.0,0.0,0.0,B0_continuous_target,,free_space,0.07960176850725655,1,calibration,59,0,,bowl_on_plate,0.0
0.0,,,0.0,0,0.0,1,-1,0,,1,15,24,0.0,0.0,0.0,0.0,0.0,B0_continuous_target,,free_space,0.06082918790914331,-1,calibration,60,0,,bowl_on_plate,0.0
0.0,,,0.0,0,0.0,1,-1,0,,1,15,24,0.0,0.0,0.0,0.0,0.0,B0_continuous_target,,free_space,0.06082918790914331,1,calibration,61,0,,bowl_on_plate,0.0
0.0,,,0.0,0,0.0,1,-1,0,,1,15,24,0.0,0.0,0.0,0.0,0.0,B0_continuous_target,,free_space,0.09835224785480828,-1,calibration,62,0,,bowl_on_plate,0.0
0.0,,,0.0,0,0.0,1,-1,0,,1,15,24,0.0,0.0,0.0,0.0,0.0,B0_continuous_target,,free_space,0.09835224785480828,1,calibration,63,0,,bowl_on_plate,0.0
0.0,,,0.0,0,0.0,1,-1,0,,1,16,24,0.0,0.0,0.0,0.0,0.0,B0_continuous_target,,free_space,0.04197834532487461,-1,calibration,64,0,,bowl_on_plate,0.0
0.0,,,0.0,0,0.0,1,-1,0,,1,16,24,0.0,0.0,0.0,0.0,0.0,B0_continuous_target,,free_space,0.04197834532487461,1,calibration,65,0,,bowl_on_plate,0.0
0.0,,,0.0,0,0.0,1,-1,0,,1,16,24,0.0,0.0,0.0,0.0,0.0,B0_continuous_target,,free_space,0.047729530559308106,-1,calibration,66,0,,bowl_on_plate,0.0
0.0,,,0.0,0,0.0,1,-1,0,,1,16,24,0.0,0.0,0.0,0.0,0.0,B0_continuous_target,,free_space,0.047729530559308106,1,calibration,67,0,,bowl_on_plate,0.0
